game,name,final,coryat,right,wrong
6347,Josh,8199,14000,20,1
6347,Debbie,0,11800,18,2
6349,Josh,8799,15400,18,3
6349,Allison,4000,15800,20,0
6349,Charlie,32800,15600,19,1
6350,Charlie,24000,21000,25,3
6350,Dan,5400,8400,17,4
6350,Cathy,0,2000,9,4
6351,Charlie,24801,14800,20,0
6351,Wendy,24800,12000,15,0
6351,Ryan,34650,25200,23,0
6352,Ryan,29199,22600,31,0
6352,Sally,21400,12400,15,0
6352,Jim,1200,12600,12,3
6354,Ryan,32801,17000,21,2
6354,Holly,0,7200,13,4
6354,Sarah,32400,10800,12,0
6364,Ryan,10399,11800,16,5
6364,Hannah,8800,10800,14,5
6364,Kevin,7199,12400,19,2
6366,Ryan,23300,19000,25,1
6366,Sam,38001,11200,18,1
6366,Margaret,6600,3600,12,5
6368,Sam,7999,11800,21,3
6368,Kirsten,5800,3000,7,4
6368,Steven,0,18000,18,3
6369,Sam,29601,13200,20,2
6369,Justin,13300,6800,11,0
6369,Heather,100,16800,16,1
6371,Sam,38200,20000,23,1
6371,Christina,13600,11400,15,3
6371,Jeff,1,5200,13,3
6374,Sam,42401,21800,22,0
6374,Peter,12800,5600,13,2
6374,JJ,12801,16800,16,1
6376,Sam,0,6000,11,2
6376,Jennifer,12001,10200,15,2
6376,Roey,23600,23800,30,3
6379,Nathan,6336,11800,17,5
6379,Kathleen,-1000,-1000,5,7
6379,Jason,26600,22000,25,1
6381,Jason,18600,23800,24,1
6381,James,10,18600,24,1
6381,Cristina,211,7000,7,0
6384,Jason,30100,18600,26,2
6384,Peggy,12400,11400,13,1
6384,John,29998,11800,12,1
6386,Jason,30000,21200,28,3
6386,Michelle,3000,5000,7,2
6386,Corin,6100,14200,17,0
6388,Jason,4400,18200,18,2
6388,Eric,0,9200,20,6
6388,Shari,0,6000,10,1
6389,Jason,27600,27800,34,4
6389,Maggie,0,3200,8,2
6389,Michael,2,3200,10,4
6410,Jason,29200,28600,29,2
6410,Holly,2800,7800,11,0
6410,Victor,1,400,6,4
6411,Jason,25600,21400,27,1
6411,Sean,0,6600,9,3
6411,Valerie,24200,12200,14,1
6412,Jason,41143,28400,35,3
6412,Carolyn,4399,4600,6,2
6412,Frank,4795,2400,6,1
6413,Jason,40600,30400,35,2
6413,Jeff,10000,10200,16,2
6413,Eric,3999,2000,4,3
6414,Jason,58400,33200,38,1
6414,Jack,3600,5600,10,1
6414,Tabitha,2799,1400,8,4
6416,Jason,24400,25800,27,1
6416,Laura,16800,8800,18,4
6416,Rodrigo,1,200,4,5
6417,Jason,5300,23000,29,1
6417,Helen,0,5400,9,1
6417,Colin,101,15000,15,1
6418,Jason,37600,27400,30,3
6418,Barbara,15599,8600,13,2
6418,Jon,0,7800,12,1
6419,Jason,18800,16800,22,1
6419,Nilla,130,4400,9,5
6419,Adam,6533,15800,16,2
6420,Jason,18753,21600,26,3
6420,John!,5599,6000,12,2
6420,Heather,6350,9200,11,1
6422,Jason,35000,26000,30,2
6422,Jacky,1000,5600,8,1
6422,Trey,75,2200,6,6
6423,Jason,30000,28000,31,1
6423,Karen,2400,2200,9,3
6423,ian,10863,12200,17,3
6424,Jason,30400,25000,26,0
6424,Ted,2799,10600,15,0
6424,Gairen,1,11800,15,2
6425,Jason,19500,21000,25,0
6425,Christine,100,11000,16,4
6425,Gabe,22400,8000,15,3
6426,Gabe,6799,10600,14,3
6426,Steve,5995,12200,13,2
6426,Laurel,31201,16600,19,1
6429,Laurel,32801,15600,21,2
6429,Jennifer,15199,14400,19,0
6429,Jason,30401,12600,14,4
6431,Laurel,1,8600,14,3
6431,Abby,10000,5000,10,3
6431,Kevin,23000,23400,27,1
6432,Kevin,26401,12400,23,4
6432,Julie,4800,10200,10,0
6432,Bill,21610,11600,16,4
6433,Kevin,10001,10000,15,5
6433,Raghuvansh,1,7000,13,5
6433,Kate,9200,4400,9,2
6434,Kevin,14001,14000,16,3
6434,Beth,2,7000,13,3
6434,Kara,17800,16400,21,2
6437,Kara,10400,5200,15,5
6437,Ben,1199,8400,13,5
6437,Jessica,12600,15200,16,1
6438,Jessica,20000,17200,21,1
6438,Rahul,-400,-400,6,4
6438,Scottie,0,10600,19,5
6439,Jessica,19599,9800,13,2
6439,Emily,8300,14400,17,3
6439,Steven,14653,12600,19,3
6440,Jessica,1,7600,15,3
6440,Cara,200,8000,15,4
6440,Geoff,33399,16000,21,2
6441,Geoff,0,3400,12,7
6441,Susan,8700,12000,12,1
6441,Lindsey,6799,17200,26,2
6442,Susan,9300,7800,9,2
6442,Anthony,5500,12600,18,3
6442,Erin,20400,16400,22,6
6443,Erin,1,13000,16,1
6443,Dmitriy,6400,6000,11,4
6443,Ed,31000,26800,30,1
6444,Ed,42600,19600,25,2
6444,John,0,15400,17,2
6444,Jackie,7999,7000,11,3
6445,Ed,10100,10000,19,7
6445,Laura,8001,6000,9,3
6445,Daryn,18200,17200,20,2
6446,Daryn,3599,13400,19,3
6446,Brian,2400,12400,18,2
6446,Amanda,2,14400,15,2
6447,Daryn,4799,16200,21,4
6447,Mononita,199,7000,12,4
6447,Ryan,9199,14200,20,1
6448,Ryan,0,8000,12,2
6448,Martha,16400,13200,21,3
6448,Andre,1799,13800,19,4
6449,Martha,2800,9800,15,4
6449,Allyson,9500,13400,16,0
6449,Nick,3999,13800,19,3
6450,Allyson,7400,12200,12,0
6450,Jamie,9999,17200,20,2
6450,Mushtaq,8986,15200,22,3
6451,Jamie,16600,7800,15,2
6451,Kris,37600,24200,26,3
6451,Erin,15990,6800,12,2
6452,Kris,13400,7200,14,4
6452,Diana,14000,11600,15,4
6452,Steve!,21201,15600,21,1
6453,Steve!,32801,17000,21,2
6453,Kari,0,6000,9,1
6453,Anthony,32799,14200,21,2
6454,Steve!,31601,15000,21,3
6454,Sam,10200,6200,8,1
6454,Dave,3,14400,18,3
6455,Steve!,0,16000,21,2
6455,Miriam,17100,7800,13,4
6455,Andrew,24001,12600,15,2
6456,Andrew,6799,14800,19,5
6456,Christine,0,11600,18,3
6456,Jennifer,0,10200,15,0
6459,Kyle,16800,12000,19,3
6459,Anneke,4799,11400,12,1
6459,Gilbert,16801,7800,14,2
6460,Rob,799,7800,13,6
6460,Dhruv,20001,16600,20,1
6460,Rachel,13601,10000,15,1
6461,James,30635,31200,33,1
6461,Alan,1,3600,11,3
6461,Lindsey,14000,9800,13,0
6462,Josh,10597,12200,16,2
6462,Eric,8000,10200,15,2
6462,Emma,23800,20400,23,1
6463,Ryan,8000,9400,14,6
6463,Steven,18400,9200,19,3
6463,Francois,34300,25600,24,0
6464,Emma,29601,19200,21,2
6464,Dhruv,5,4000,10,4
6464,Kyle,19201,11200,17,3
6465,James,30156,22600,27,1
6465,Steven,11400,11400,17,3
6465,Rachel,7200,5600,9,0
6466,Francois,34801,16000,18,1
6466,Gilbert,12600,12600,17,2
6466,Lindsey,12799,19000,21,2
6467,Francois,1800,7800,12,2
6467,James,49326,22400,28,3
6467,Emma,26400,13200,14,0
6469,Andrew,9201,9600,20,6
6469,Beverly,200,4600,6,1
6469,Kevin,15600,24000,25,2
6470,Kevin,18600,9600,16,2
6470,Shannon,7999,14600,19,3
6470,Sathvik,27201,15200,18,6
6471,Sathvik,27799,9800,12,1
6471,Elise,34600,26600,27,0
6471,Dave,2400,9400,15,3
6472,Elise,20200,24000,28,2
6472,Ryan,4399,6600,10,2
6472,Darrin,2200,7400,14,3
6473,Elise,24800,14000,23,4
6473,Seema,0,4600,10,2
6473,Joyee,14799,12600,21,2
6477,Elise,800,21400,24,2
6477,Beth,39601,15600,16,1
6477,Stephen,3500,2600,11,3
6478,Beth,14000,17600,23,3
6478,Julie,0,6400,15,4
6478,Ian,100,6200,10,4
6479,Beth,599,10200,17,3
6479,Ben,4798,8600,16,6
6479,Ellen,11200,13400,15,0
6480,Ellen,10,6400,9,2
6480,Jamin,1600,9200,19,2
6480,Alex,12801,10600,12,2
6481,Alex,13399,10400,18,3
6481,Emma,100,6800,13,3
6481,Gabrielle,1599,8200,14,2
6482,Alex,7349,8000,9,3
6482,Joanna,5599,8400,15,2
6482,Mohammed,2799,10800,12,1
6483,Alex,2388,7400,14,1
6483,Stephanie,12399,12800,17,2
6483,Theodore,100,5800,14,7
6484,Stephanie,2400,4400,13,2
6484,Davita,3200,6000,8,0
6484,Jennifer,45200,29400,33,5
6485,Jennifer,29600,14600,24,5
6485,Chris,11501,5800,14,6
6485,Kelly,3800,13800,17,3
6486,Jennifer,15500,20600,28,4
6486,Randy,6500,3400,11,6
6486,Katie,3599,9400,14,3
6491,Jennifer,33000,18800,25,2
6491,Jeff,2,5200,7,2
6491,Ann,6499,12200,18,1
6493,Jennifer,26200,25200,29,1
6493,Ben,19600,15800,19,5
6493,Shane,1200,7200,10,0
6495,Jennifer,21900,19200,24,3
6495,Doug,100,10200,11,2
6495,Denise,1,8600,14,2
6496,Jennifer,27000,23800,29,2
6496,Brad,0,800,5,2
6496,Kim,1,11800,20,6
6497,Jennifer,30400,26000,31,0
6497,Jeanne,11198,9200,12,1
6497,Lisa,7100,2600,9,5
6498,Jennifer,34200,17200,23,2
6498,Patrick,10033,14600,17,2
6498,Kirby,34401,15600,15,0
6499,Kirby,4400,4400,9,5
6499,Rodolfo,18799,11600,20,2
6499,Dagmar,5489,14400,18,2
6500,Rodolfo,1,11200,17,3
6500,Christine,5955,15600,19,3
6500,Dave,8218,5200,12,3
6501,Dave,9000,6000,14,6
6501,Peggah,787,800,9,4
6501,Eric,17000,22200,26,4
6502,Eric,25000,15600,21,5
6502,Lucy,11400,8400,13,1
6502,Claire,16801,10600,20,4
6503,Eric,800,14800,19,2
6503,Robin,19601,17400,19,2
6503,Jason,599,5200,5,0
6504,Robin,7799,11600,18,4
6504,Barbara,6700,15200,15,3
6504,Drew,7700,10200,15,3
6505,Robin,18801,14400,20,6
6505,Alex,28801,15800,21,3
6505,Kristin,0,5000,5,0
6506,Alex,4852,6800,13,7
6506,Usha,0,1000,11,5
6506,Karen,17200,16200,20,3
6507,Karen,18401,12400,20,5
6507,Jamison,4400,9200,14,3
6507,Matt,17595,8200,15,4
6508,Karen,22000,23200,29,2
6508,Scott,1500,2000,10,4
6508,Ilene,4001,7000,9,1
6509,Karen,16800,20400,20,1
6509,Susan,13799,7000,8,1
6509,Bill,100,4400,14,6
